cell_key,microns_root_id
N:227368,864691135889742485
N:362609,864691136126239014
N:227105,864691135862392819
N:583297,864691135374355144
N:583404,864691134941962319
N:394391,864691135746700289
N:611718,864691135939430102
N:608855,864691135888983689
N:365403,864691135318977758
N:189734,864691135480521168
N:581138,864691135583259746
N:221971,864691135123287591
N:608651,864691135100778785
N:223529,864691135429252144
N:396633,864691135858491438
N:223720,864691136674065543
N:581830,864691136210640318
N:225887,864691135839847827
N:580782,864691135910660777
N:226258,864691136392834175
N:224329,864691135633474924
N:223650,864691135437154546
N:393873,864691135474733632
N:394075,864691135746131713
N:191621,864691135807277597
N:396067,864691135874456206
N:225415,864691135946367012
N:581629,864691135210035392
N:609673,864691135624835555
N:395720,864691135794724637
N:225542,864691135896032917
N:393791,864691133912406186
N:360000,864691135816494671
N:234088,864691136665217502
N:391162,864691135786545860
N:615735,864691135183493378
N:616055,864691135535590514
N:231416,864691135446816492
N:617700,864691135772014587
N:616227,864691135858491438
N:358831,864691136084469356
N:390337,864691135867017086
N:235783,864691135809509324
N:617224,864691135993897254
N:390745,864691136691274102
N:617512,864691136001171619
N:617521,864691135858491438
N:615424,864691135858491438
N:235018,864691135566810455
N:613560,864691135858491438
N:613446,864691135544382504
N:230822,864691135551562692
N:585239,864691134774119087
N:393520,864691135858491438
N:612925,864691135488250938
N:393554,864691135041607833
N:197144,864691135618597993
N:230014,864691135739293316
N:228090,864691136121124221
N:615206,864691136194630988
N:613047,864691136065413528
N:232534,864691136205909738
N:614283,864691135474776640
N:612470,864691135699282210
N:231469,864691133123603819
N:612229,864691136224107966
N:400186,864691135495957941
N:178621,864691136361553118
N:402885,864691135645529583
N:678247,864691135228951026
N:208113,864691136306406797
N:676709,864691135186676010
N:722242,864691136990296213
N:607022,864691137019739758
N:220341,864691136274077965
N:396276,864691136966047438
N:220698,864691136358161791
N:580698,864691135565505122
N:188988,864691135644628305
N:608231,864691136137107837
N:606986,864691136358234204
N:221238,864691135576166942
N:223016,864691135763941174
N:366883,864691134889595856
N:222257,864691136488446226
N:580532,864691135968918117
N:397654,864691135355723727
N:399490,864691135732236473
N:366295,864691135858491438
N:368006,864691136898036846
N:368003,864691136481701511
N:435783,864691135684152396
N:152377,864691135701537659
N:707874,864691135115187249
N:150947,864691135753752781
N:433862,864691135461125734
N:436143,864691135858491438
N:711647,864691135125022713
N:404642,864691135858491438
N:434743,864691137019960686
